Title,Price,Description,Location
"
        3bdrm Apartment in Spintex for Rent
    ","
        GH₵ 3,500
    ","
                            Semi furnished 3 bedrooms apartment,
2 washrooms,
2 spacious balconies,
Dinning area,
Fitted...
                        ","
            Greater Accra, Spintex
        "
"
        Furnished 4bdrm Townhouse/Terrace in Cantonment, Cantonments for Rent
    ","
        GH₵ 32,000
    ","
                            4 bedroom townhouse + going for ; 
Located Cantonment
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm Apartment in West Trassaco, Adjiriganor for Rent
    ","
        GH₵ 3,500
    ","
                            Newly built 2bedroom apartment in west trassaco for rent at a price of 3500 cedis ... 3 washroom
                        ","
            Greater Accra, Adjiriganor
        "
"
        3bdrm Duplex in Spintex, Tema Metropolitan for Rent
    ","
        GH₵ 6,400
    ","
                            Nice 3 Bedroom Duplex For Rent in a serene area at Spintex. It comes with all rooms ensuite with...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        Furnished 2bdrm House in Glory Vel Junction, Kumasi Metropolitan
    ","
        GH₵ 800
    ","
                            Separate meter, Available water .Space for car pack, big dinning hall and pouch
                        ","
            Ashanti, Kumasi Metropolitan
        "
"
        2bdrm Apartment in McCarthy Hill for Rent
    ","
        GH₵ 2,000
    ","
                            Newly build apartment for rent.
                        ","
            Greater Accra, McCarthy Hill
        "
"
        4bdrm House in Kumvic Properties, East Legon for Rent
    ","
        GH₵ 9,600
    ","
                            4bedroom house at east legon trasacco valley for rent at thousand one two dollars
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 3bdrm Apartment in Sprintex Road, Spintex for Rent
    ","
        GH₵ 6,000
    ","
                            3 bedrooms furnished apartments for rent at sprintex road nice place.
call Awasty properties for...
                        ","
            Greater Accra, Spintex
        "
"
        3bdrm House in Tema Com 9 for Rent
    ","
        GH₵ 2,500
    ","
                            Rush to own this spacious three bedroom house,located in Tema com 9. Idea for families. Call
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        5bdrm Townhouse/Terrace in Cantonments for Rent
    ","
        GH₵ 48,750
    ","
                            An amazing executive 5-bedroom townhouse with high quality furnishings and equipment’s, comes with a...
                        ","
            Greater Accra, Cantonments
        "
