Suburb,Latitude_Suburb,Longitude_Suburb
abawdikro,7.609215999,-1.9605753
abeka,5.599984099,-0.2418328
abelenkpe,5.608003599,-0.2173342
ablekuma newtown,5.637302199,-0.3137724
aboabo,6.701056199,-1.596086
abofu,5.616784199,-0.2246882
abokobi,5.738169699,-0.1948689
abossey okai,5.560778799,-0.2409952
abouabo,9.401321399,-0.8491093
abrepo,6.727268199,-1.6542739
abusuakruwa,6.732680799,-1.6410238
accra new town,5.585050299,-0.2107677
adentan,5.704243299,-0.1690967
adisadel,5.116179099,-1.2661979
adjiringanor,5.649650599,-0.1366577
adoato,6.707124499,-1.649631
adum,6.694292599,-1.6233319
adum-line,5.822515199,-2.8190553
adumanu,6.711173499,-1.6495934
afful nkwanta,6.689281699,-1.6016382
agdegya,6.616830999,-1.5824183
agric,10.7861244,-0.8051468
ahodwo,6.656521999,-1.6196492
airport residential area,5.613249899,-0.1832656
akutubo,5.821259099,-2.8219486
akwatia-line,6.699095599,-1.6082203
akweteyman,5.612534599,-0.2336887
alabar,6.699231399,-1.6156715
alaji,5.616302799,-0.2621927
alajo,5.600330099,-0.2120703
alogboshie,5.632388499,-0.2363075
amakom,6.690150099,-1.6063803
amasaman,5.703290999,-0.2990647
amedenuta,6.106221599,1.1534627
amoabisi,10.8074957,-0.8723591
ampabame,6.715875199,-1.6455567
anfoeta zongo,6.740144499,0.3909588
anomangye,6.728535799,-1.6434349
antem,5.116747099,-1.2590119
anwomaso,6.692444199,-1.5304631
aprade,6.708720599,-1.5367419
aputuogya,6.600786399,-1.5571102
area 2,7.338421599,-2.3214921
area 4,7.332561099,-2.3207814
asafo,5.552246899,-0.6588127
asafo,6.689270999,-1.6095668
asawase,6.700224799,-1.5990742
aseebu,5.393321299,-0.6483007
asem,6.693000599,-1.6103178
ashaley botwe,5.686451699,-0.1369489
ashongman,5.697025999,-0.2338194
ashtown,6.705377599,-1.6203458
asikafoamantem,5.804548799,-2.4365187
asokore mampong,6.712143199,-1.5685773
asokwa,6.686499799,-1.6061047
asongen,10.8145373,-0.7531175
asufufu,7.305851699,-2.3402523
asuogya,6.725898999,-1.6478956
asylum down,5.570932299,-0.2025493
atafoa,6.739814199,-1.6615105
"atonkwa, elmina",5.112976699,-1.3256925
atorkukope,6.106521999,1.1742566
atta mills,6.790922099,-2.5092039
avakome,6.113118299,1.1645878
avoeme,6.111791699,1.1725989
awoshie,5.587277999,-0.2780901
awudome estates,5.570517399,-0.2318972
ayeduase,6.675049399,-1.5572698
ayi mensah,5.782856499,-0.1816539
ayigbe town,5.551310899,-0.3524636
ayigya,6.692166099,-1.5779562
baakoniaba,7.325734799,-2.3473942
bantama,6.705131899,-1.63486
banvum,9.362290999,-0.8381846
bari,10.744787,-0.7956308
bawa villa,9.391138799,-0.8039224
begyeahaso,5.828904599,-2.8175265
benkute,10.8156075,-0.7745044
beo,10.7658881,-0.8020336
berlin top,7.343321599,-2.3557314
bethlehem,5.710287099,-0.0098106
blockso,5.810974399,-2.4366582
boadi,6.679757599,-1.5429737
bobkrom,6.793782499,-2.5143886
bofre ase,7.360387799,-2.3425147
bohyen,6.719203599,-1.6490328
bomso,6.684531599,-1.5800191
brahabebome,5.311186999,-1.9998872
brahabebome,6.196938999,-1.6371238
breman,6.737499499,-1.6362709
breman north,6.748988699,-1.6357661
bukere,10.7857662,-0.8451911
bukom,5.539016799,-0.211605
bulpiela,9.386119399,-0.847431
buokrom,6.728584599,-1.5830857
buokrom estate,6.735563399,-1.5909412
burma camp,5.595721799,-0.1557417
cantonments,5.584156299,-0.1692489
changi,9.397009799,-0.8354916
chapel hill,4.8891628,-1.7552465
choggu,9.428142699,-0.852112
chorkor,5.527318699,-0.2360934
christian village,5.638078299,-0.220842
community 1,5.644775399,0.0003272
community 10,5.656837599,-0.0238984
community 11,5.664339799,-0.0306355
community 12,5.675086199,-0.0344757
community 17,5.637825299,-0.0705574
community 18,5.647045099,-0.0707708
community 2,5.632288299,-0.017441
community 22,5.712535799,-0.0293623
community 25,5.736644599,0.0365789
community 3,5.625869199,-0.0306061
community 4,5.656538799,-0.00792
community 5,5.643432699,-0.0150465
community 6,5.650819099,-0.0198848
community 7,5.664745699,-0.0112188
community 8,5.670627199,-0.0129644
community 9,5.679189599,-0.0166069
cuba,5.803673599,-2.4281717
dabokpaa,9.388430799,-0.8198802
daboren,10.7973787,-0.7941087
dagbandabo fong,9.396274099,-0.8419033
