Title,location,Price
"
        1bdrm Apartment in Sam Properties, Ga West Municipal for Rent
    ","
            Ga West Municipal
        ","
        650
    "
"
        2bdrm Apartment in Oyarifa for Rent
    ","
            Oyarifa
        ","
        1,500
    "
"
        2bdrm Apartment in Oyarifa for rent
    ","
            Oyarifa
        ","
        1,500
    "
"
        3bdrm Apartment in Oyarifa for Rent
    ","
            Oyarifa
        ","
        2,500
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        3,000
    "
"
        4bdrm Townhouse/Terrace in Executivehousesghana, US Embassy Area
    ","
            Cantonments, US Embassy Area
        ","
        40,000
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        3bdrm Apartment in Kasoa for Rent
    ","
            Kasoa
        ","
        2,500
    "
"
        1bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        900
    "
"
        1bdrm Apartment in New Legon for Rent
    ","
            Adenta, New Legon
        ","
        800
    "
"
        Furnished 3bdrm Apartment in Zeahomes, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        10,500
    "
"
        2bdrm Apartment in Funmilola Real, Kasoa for Rent
    ","
            Kasoa
        ","
        700
    "
"
        5bdrm Townhouse in Adjiriganor for Rent
    ","
            Adjiriganor
        ","
        9,000
    "
"
        3bdrm Duplex in Oyarifa for Rent
    ","
            Oyarifa
        ","
        3,700
    "
"
        2bdrm Apartment in Adom Agency, Teshie for Rent
    ","
            Teshie
        ","
        2,000
    "
"
        3bdrm Apartment in Adenta for Rent
    ","
            Adenta
        ","
        2,000
    "
"
        4bdrm House in Basket Spintex for Rent
    ","
            Spintex
        ","
        2,600
    "
"
        3bdrm House in Manet-Spintex for Rent
    ","
            Spintex
        ","
        3,200
    "
"
        2bdrm Apartment in the Dorns Properties, New Town for Rent
    ","
            Teshie, Teshie New Town
        ","
        2,500
    "
"
        1bdrm Apartment in Dr Roko, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        750
    "
"
        3bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        2bdrm Apartment in Galilea, Kasoa for Rent
    ","
            Kasoa
        ","
        800
    "
"
        3bdrm Apartment in School Junction, East Legon for Rent
    ","
            East Legon
        ","
        5,300
    "
"
        Furnished 2bdrm Apartment in Kwabenya, Dome for Rent
    ","
            Dome
        ","
        1,500
    "
"
        4bdrm Townhouse/Terrace in Abgobga, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        3,000
    "
"
        4bdrm House in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        3,000
    "
"
        5bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        30,000
    "
"
        4bdrm Apartment in Sinco Properties, East Legon for Rent
    ","
            East Legon
        ","
        10,199
    "
"
        4bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        27,000
    "
"
        3bdrm House in Tempo Estate, Spintex for Rent
    ","
            Spintex
        ","
        4,000
    "
"
        Furnished 1bdrm Block of Flats in Spintex for Rent
    ","
            Spintex
        ","
        2,100
    "
"
        5 Bedrooms Self Compound at Abgobga Very Good Road
    ","
            Ga East Municipal
        ","
        4,000
    "
"
        3bdrm Apartment in Community 18, Spintex for Rent
    ","
            Spintex
        ","
        2,000
    "
"
        4bdrm Townhouse/Terrace in East Legon for Rent
    ","
            East Legon
        ","
        12,800
    "
"
        An Exquisite 4 Bedroom Townhouse Withi A Gated Community
    ","
            Cantonments
        ","
        39,500
    "
"
        4bdrm Townhouse/Terrace in North Legon for Rent
    ","
            North Legon
        ","
        8,000
    "
"
        3bdrm Townhouse/Terrace in East Airport for Rent
    ","
            Airport Residential Area
        ","
        5,000
    "
"
        1bdrm Apartment in Adenta for Rent
    ","
            Adenta
        ","
        600
    "
"
        3bdrm Apartment in Sam Properties, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        1,200
    "
"
        3bdrm House in Sam Properties, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        1,800
    "
"
        3bdrm Apartment in Adjiringanor, Adjiriganor for Rent
    ","
            Adjiriganor
        ","
        2,500
    "
"
        3bdrm Apartment in Spintex, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,900
    "
"
        3bdrm Apartment in Ben Properties, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        3,000
    "
"
        6bdrm Mansion in East Legon for Rent
    ","
            East Legon
        ","
        19,950
    "
"
        Fully Finished 4 Bedrooms At North Ridge
    ","
            Ridge
        ","
        24,000
    "
"
        2bdrm Apartment in Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        800
    "
"
        3bdrm Townhouse/Terrace in Cantonments for Rent
    ","
            Cantonments
        ","
        15,000
    "
"
        4bdrm Townhouse/Terrace in Airport Residential for Rent
    ","
            Airport Residential Area
        ","
        28,800
    "
"
        3bdrm Apartment in Riches, Ablekuma for Rent
    ","
            Ablekuma
        ","
        1,300
    "
"
        2bdrm Apartment in Adom Agency, Teshie for Rent
    ","
            Teshie
        ","
        650
    "
"
        Furnished 3bdrm Apartment in American Embassy, Cantonments for Rent
    ","
            Cantonments
        ","
        17,000
    "
"
        5bdrm Duplex in Trasacco Estate, East Legon for Rent
    ","
            East Legon
        ","
        26,687
    "
"
        3bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        8,638
    "
"
        Furnished 4bdrm Townhouse/Terrace in Delight Agency, East Legon
    ","
            East Legon
        ","
        21,300
    "
"
        3bdrm Townhouse/Terrace in East Legon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        5bdrm Duplex in Adjiringanor, East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        Furnished 7bdrm Duplex in Amascorealty, East Legon for Rent
    ","
            East Legon
        ","
        18,000
    "
"
        2bdrm Apartment in Sam Properties, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        700
    "
"
        2bdrm Apartment in Sam Properties, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        1,000
    "
"
        1bdrm Apartment in Riches, Awoshie for Rent
    ","
            Awoshie
        ","
        801
    "
"
        1bdrm Apartment in Dome for Rent
    ","
            Dome
        ","
        600
    "
"
        8bdrm Duplex in Ddlzabeth Properties, East Legon for Rent
    ","
            East Legon
        ","
        21,000
    "
"
        3bdrm Apartment in Ben Properties, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,600
    "
"
        3bdrm House in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        3,800
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        3bdrm Apartment in Sinco Properties, East Legon for Rent
    ","
            East Legon
        ","
        496,085
    "
"
        5bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        16,000
    "
"
        2bdrm Apartment in Mic, Ashaley Botwe for Rent
    ","
            Ashaley Botwe
        ","
        1,100
    "
"
        3bdrm Townhouse/Terrace in Eastlegon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        24,000
    "
"
        4bdrm Apartment in Sinco Properties, East Legon for Rent
    ","
            East Legon
        ","
        7,523
    "
"
        Furnished 3bdrm Apartment in Amascorealty, East Legon for Rent
    ","
            East Legon
        ","
        18,000
    "
"
        4bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        8,125
    "
"
        Furnished 3bdrm Block of Flats for Rent
    ","
            Airport Residential Area
        ","
        20,000
    "
"
        2bdrm Townhouse/Terrace in Airport for Rent
    ","
            Airport Residential Area
        ","
        7,700
    "
"
        2bdrm Apartment in Sam Properties, Ga South Municipal for rent
    ","
            Ga South Municipal
        ","
        900
    "
"
        4bdrm House in Ghana Link Area for Rent
    ","
            East Legon, Ghana Link Area
        ","
        21,000
    "
"
        4bdrm Apartment in North Kaneshie for Rent
    ","
            Kaneshie, North Kaneshie
        ","
        2,200
    "
"
        2bdrm Apartment in Pilla 2, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,500
    "
"
        4bdrm House in Manet Estate, Spintex for Rent
    ","
            Spintex
        ","
        4,700
    "
"
        3bdrm Townhouse in Delight Agency, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        15,200
    "
"
        3bdrm House in East Legon Hills for Rent
    ","
            East Legon
        ","
        4,200
    "
"
        2bdrm Apartment in Bax1109 Homes, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,500
    "
"
        3bdrm Apartment in Amascorealty, East Legon for Rent
    ","
            East Legon
        ","
        12,000
    "
"
        10bdrm Duplex in Ddlzabeth Properties, East Legon for Rent
    ","
            East Legon
        ","
        34,800
    "
"
        3bdrm Apartment in Billcotey Property, Spintex for Rent
    ","
            Spintex
        ","
        4,500
    "
"
        3bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
            East Legon
        ","
        6,750
    "
"
        Furnished 5bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        37,500
    "
"
        3bdrm Apartment in East Legon, a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        14,474
    "
"
        3bdrm Apartment in Hamza Estates, East Legon for Rent
    ","
            East Legon
        ","
        4,577
    "
"
        3bdrm House in Community 18, Spintex for Rent
    ","
            Spintex
        ","
        2,000
    "
"
        5bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        37,500
    "
"
        1bdrm Apartment in Abgobga, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        800
    "
"
        3bdrm Apartment in Spintex for Rent
    ","
            Spintex
        ","
        2,500
    "
"
        3bdrm House in Lakeside Estate, East Legon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        4bdrm House in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        7,300
    "
"
        2bdrm Apartment in Sam Properties, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        900
    "
