Price,Rooms,location_new,loc
650,1,ga west municipal,0
1500,2,oyarifa,1
1500,2,oyarifa,1
2500,3,oyarifa,1
3000,3,east legon,2
40000,4,cantonments,3
4000,4,east legon,2
2500,3,kasoa,4
900,1,east legon,2
800,1,adenta,5
10500,3,accra metropolitan,6
700,2,kasoa,4
9000,5,adjiriganor,7
3700,3,oyarifa,1
2000,2,teshie,8
2000,3,adenta,5
2600,4,spintex,9
3200,3,spintex,9
2500,2,teshie,8
750,1,accra metropolitan,6
4500,3,east legon,2
800,2,kasoa,4
5300,3,east legon,2
1500,2,dome,10
3000,4,ga east municipal,11
3000,4,accra metropolitan,6
30000,5,east legon,2
10199,4,east legon,2
27000,4,airport residential area,12
4000,3,spintex,9
2100,1,spintex,9
4000,5,ga east municipal,11
2000,3,spintex,9
12800,4,east legon,2
39500,4,cantonments,3
8000,4,north legon,13
5000,3,airport residential area,12
600,1,adenta,5
1200,3,ga south municipal,14
1800,3,ga south municipal,14
2500,3,adjiriganor,7
2900,3,accra metropolitan,6
3000,3,ga east municipal,11
19950,6,east legon,2
24000,4,ridge,15
800,2,tema metropolitan,16
15000,3,cantonments,3
28800,4,airport residential area,12
1300,3,ablekuma,17
650,2,teshie,8
17000,3,cantonments,3
26687,5,east legon,2
8638,3,airport residential area,12
21300,4,east legon,2
4000,3,east legon,2
9000,5,east legon,2
18000,7,east legon,2
700,2,ga south municipal,14
1000,2,ga south municipal,14
801,1,awoshie,18
600,1,dome,10
21000,8,east legon,2
1600,3,ga east municipal,11
3800,3,spintex,9
4500,4,east legon,2
496085,3,east legon,2
16000,5,east legon,2
1100,2,ashaley botwe,19
4000,3,east legon,2
24000,5,east legon,2
7523,4,east legon,2
18000,3,east legon,2
8125,4,airport residential area,12
20000,3,airport residential area,12
7700,2,airport residential area,12
900,2,ga south municipal,14
21000,4,east legon,2
2200,4,kaneshie,20
1500,2,accra metropolitan,6
4700,4,spintex,9
15200,3,airport residential area,12
4200,3,east legon,2
2500,2,accra metropolitan,6
12000,3,east legon,2
34800,1,east legon,2
4500,3,spintex,9
6750,3,east legon,2
37500,5,airport residential area,12
14474,3,east legon,2
4577,3,east legon,2
2000,3,spintex,9
37500,5,airport residential area,12
800,1,ga east municipal,11
2500,3,spintex,9
4000,3,east legon,2
7300,4,ga east municipal,11
900,2,ga south municipal,14
2400,2,ashomang estate,21
695,2,weija,22
11547,4,east legon,2
9900,5,east legon,2
800,2,teshie,8
8700,5,east legon,2
9000,4,east legon,2
22800,5,east legon,2
600,1,ablekuma,17
2500,2,west legon,23
18700,5,airport residential area,12
2200,2,ledzokuku-krowor,24
1400,2,agbogbloshie,25
2500,3,ga east municipal,11
17500,4,east legon,2
8840,3,accra metropolitan,6
6822,4,east legon,2
700,1,ga south municipal,14
1400,3,accra metropolitan,6
3365,2,east legon,2
30000,4,cantonments,3
2000,4,pokuase,26
17700,4,airport residential area,12
4500,3,east legon,2
4000,3,airport residential area,12
2500,2,east legon,2
9000,4,east legon,2
4000,3,east legon,2
278400,4,cantonments,3
1960000,4,east legon,2
25850,6,agbogbloshie,25
5250,2,east legon,2
11400,5,east legon,2
3600,4,ga east municipal,11
11500,4,east legon,2
6960,4,east legon,2
4000,4,accra metropolitan,6
4000,5,spintex,9
1800,1,east legon,2
2500,2,east legon,2
16000,1,adjiriganor,7
3000,2,gbawe,27
3300,2,east legon,2
1200,2,accra metropolitan,6
4200,3,east legon,2
17500,5,east legon,2
19140,3,airport residential area,12
14500,5,east legon,2
2000,2,east legon,2
27000,5,ridge,15
11400,4,east legon,2
2500,4,ga east municipal,11
29000,4,east legon,2
4969,3,east legon,2
3000,4,agbogbloshie,25
29400,4,cantonments,3
10800,4,east legon,2
9100,2,east legon,2
26000,2,ashaley botwe,19
22800,4,dzorwulu,28
3500,3,ledzokuku-krowor,24
16000,1,east legon,2
7518,4,east legon,2
11000,5,east legon,2
6000,4,spintex,9
7800,4,east legon,2
1000,2,teshie,8
2500,3,east legon,2
6000,2,south shiashie,29
6800,3,east legon,2
8000,4,east legon,2
6000,4,agbogbloshie,25
9500,3,east legon,2
7500,3,east legon,2
500000,4,ashaley botwe,19
2500,4,ga south municipal,14
5245,3,east legon,2
20000,3,ridge,15
800,1,accra metropolitan,6
16200,5,east legon,2
2700,3,east legon,2
4000,4,east legon,2
29000,5,east legon,2
6500,4,east legon,2
1800,2,spintex,9
1200,2,ga east municipal,11
7668,4,east legon,2
2500,3,east legon,2
1800,2,spintex,9
14400,2,east legon,2
7000,4,east legon,2
3000,4,ga east municipal,11
13680,3,east legon,2
1500,2,ga east municipal,11
3900,2,east legon,2
6000,4,accra metropolitan,6
1700,2,ashaley botwe,19
1300,2,pokuase,26
18000,2,ridge,15
5700,5,east legon,2
17500,5,east legon,2
20160,6,east legon,2
4835,4,east legon,2
1500,2,teshie,8
1000,2,ashomang estate,21
2000,2,east legon,2
6875,3,airport residential area,12
17400,5,cantonments,3
8130,4,west legon,23
5500,4,east legon,2
9440,4,east legon,2
6175,3,east legon,2
6750,3,airport residential area,12
5880,2,dworwulu,30
4500,4,east legon,2
1000,2,teshie,8
1000,2,teshie,8
18000,5,east legon,2
2500,3,spintex,9
24000,4,east legon,2
12500,3,east legon,2
18900,4,east legon,2
46400,6,cantonments,3
2200,3,oyarifa,1
2200,3,east legon,2
35400,4,airport residential area,12
21000,4,east legon,2
2600,3,east legon,2
24000,4,cantonments,3
26100,5,cantonments,3
6000,3,airport residential area,12
24000,5,airport residential area,12
14714,2,east legon,2
9000,4,airport residential area,12
700,1,dome,10
1800,2,teshie,8
5400,3,south shiashie,29
9600,3,agbogbloshie,25
18000,4,east legon,2
1300,3,ga east municipal,11
4000,4,east legon,2
2000,3,ga east municipal,11
2000,3,adenta,5
